task_id,title,task_category,priority_level,assigned_to,creation_date,completion_date,actual_duration_days,delay_label,has_urgent_tag
2,Flutter initiate,tech,medium,Developer_A,2024-10-18 10:23:35,2024-11-20 17:29:55,33.29606481481481,on_time,0
3,Login Screen - 1,tech,medium,Developer_B,2024-10-18 10:29:40,2024-11-20 17:29:49,33.29177083333333,on_time,0
4,Backend login API,tech,medium,Developer_A,2024-10-18 10:29:51,2024-10-31 18:43:54,13.343090277777778,on_time,0
5,Login Screen - 2,tech,medium,Developer_A,2024-10-18 10:32:40,2024-11-20 17:29:53,33.2897337962963,on_time,0
6,Sollen Genel Tanıtım Dosyası - 1,product,medium,Developer_C,2024-10-18 10:37:26,2024-11-24 14:40:21,37.168692129629626,on_time,0
9,Logonun Finalize olması,design,medium,Developer_D,2024-10-18 10:39:23,2024-11-15 17:07:25,28.269467592592594,delayed,0
10,Backend modellerinin kararlı hale getirilmesi,tech,medium,Developer_A,2024-10-23 13:06:33,2025-01-03 18:04:51,72.20715277777778,delayed,0
11,modellerin update'leri ve authorization ayarlanması,tech,medium,Developer_A,2024-10-23 13:07:45,2025-02-05 20:23:17,105.3024537037037,delayed,0
15,repeated ve unnecessary dosya temizliği,tech,medium,Developer_A,2024-10-23 13:08:38,2025-01-03 18:04:57,72.20577546296296,delayed,0
17,logo ve iconlar tasarımdan alınıp ui'a ekleme,tech,medium,Developer_E,2024-10-23 13:09:51,2025-08-14 13:38:59,295.02023148148146,delayed,0
18,içeri dallanan sayfalar ekleme (UI),tech,medium,Developer_A,2024-10-23 13:10:02,2025-02-10 20:10:53,110.29225694444445,delayed,0
19,içeri dallanan sayfalar ekleme (functional),tech,medium,Developer_A,2024-10-23 13:10:24,2025-05-29 19:09:35,218.24943287037038,delayed,0
20,navbar sayfaları ekleme,tech,medium,Developer_A,2024-10-23 13:10:36,2025-05-29 19:10:12,218.24972222222223,delayed,0
22,database structure oluşturma,tech,medium,Developer_A,2024-10-24 19:15:54,2025-01-03 18:04:53,70.95068287037037,delayed,0
24,"Hedef Sektörlerin Pazar Büyüklüklerinin Araştırılması ve Hesaplanması, Pazar Alanının Belirlenmesi",research,high,Developer_F,2024-10-24 19:33:57,2024-11-24 21:19:09,31.073055555555555,delayed,0
28,Logo Taslak-1,design,medium,Developer_D,2024-10-31 13:35:53,2024-10-31 19:16:46,0.23672453703703702,on_time,0
29,Renk Paleti,design,medium,Developer_D,2024-10-31 13:36:05,2024-10-31 19:16:40,0.23651620370370371,on_time,0
30,İlk kayıt kısmı-taslak1-Ara yüz tasarım,design,medium,Developer_D,2024-10-31 13:36:26,2024-11-04 23:55:58,4.430231481481481,on_time,0
31,Ana Sayfa-taslak1-Ara yüz tasarım,design,medium,Developer_D,2024-10-31 13:36:54,2024-11-04 23:51:58,4.427129629629629,on_time,0
32,İrtibat Sorumluları kısımları-taslak1-Ara yüz tasarım,design,medium,Developer_D,2024-10-31 13:37:38,2024-11-04 23:52:54,4.4272685185185185,on_time,0
34, *Acil durum çantası sayfa-taslak1- ara yüz tasarım,design,medium,Developer_D,2024-10-31 15:18:51,2024-11-05 15:22:19,5.002407407407407,on_time,0
35,Eğitimler sayfa-taslak1- ara yüz tasarım,design,medium,Developer_D,2024-10-31 15:22:57,2024-11-05 15:22:23,4.999606481481481,on_time,0
42,Dashboard ekranının oluşturulması ve hizalamalarının ayarlanması,tech,medium,Developer_A,2024-10-31 18:37:12,2024-11-20 17:29:41,19.953113425925928,on_time,0
43,Dashboard ekranına online map eklenmesi,tech,medium,Developer_A,2024-10-31 18:37:53,2024-11-20 17:29:44,19.952673611111113,on_time,0
44,Dashboard ekranın left side menu eklenmesi ve verinin dinamik şekilde oluşmasının sağlanması (modelview setup),tech,medium,Developer_A,2024-10-31 18:42:26,2024-11-20 17:29:46,19.949537037037036,on_time,0
47,*Figma Sembol Çizimleri ,design,medium,Developer_D,2024-10-31 19:23:23,2024-11-05 15:22:11,4.8325,on_time,0
54,AR-GE ve İş Geliştirme Başta Şirket Dokümanlarının Drive veya Azure'de Toparlanması,research,medium,Developer_F,2024-10-31 23:40:54,2024-11-24 21:18:58,23.901435185185186,delayed,0
61,Information Page-taslak1-ara yüz tasarım,design,medium,Developer_D,2024-11-05 14:42:32,2024-11-05 15:37:27,0.03813657407407407,on_time,0
62,Sollen Kurumsal Kimlik Elementleri-Dosya ve defter,design,medium,Developer_D,2024-11-05 14:50:36,2024-11-07 19:32:14,2.1955787037037036,on_time,0
68,sucool - fikir madenciliği workshopuna katılım,operations,medium,Developer_G,2024-11-07 14:17:02,2024-11-07 19:25:53,0.21447916666666667,on_time,0
69,sucool - fikir madenciliği workshopuna katılım,operations,medium,Developer_B,2024-11-07 14:17:11,2024-11-07 19:25:52,0.21436342592592592,on_time,0
70,sucool - fikir madenciliği workshopuna katılım,operations,medium,Developer_A,2024-11-07 14:17:29,2024-11-07 19:25:54,0.21417824074074074,on_time,0
